gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,title,NA,NA,NA,NA,"PERICLES, PRINCE OF TYRE"
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Chorus. Before the palace of Antioch
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I. Antioch. A room in the palace
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II. Tyre. A room in the palace
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene III,NA,NA,Scene III. Tyre. An ante-chamber in the Palace
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT I,Scene IV,NA,NA,Scene IV. Tarsus. A room in the Governor’s house
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,Chorus. Chorus
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I. Pentapolis. An open place by the seaside
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,"Scene II. The same. A public way, or platform leading to the lists"
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene III,NA,NA,Scene III. The same. A hall of state: a banquet prepared
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene IV,NA,NA,Scene IV. Tyre. A room in the Governor’s house
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT II,Scene V,NA,NA,Scene V. Pentapolis. A room in the palace
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,ACT III
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,NA,NA,NA,Chorus. Chorus
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene I,NA,NA,Scene I. On shipboard
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene II,NA,NA,Scene II. Ephesus. A room in Cerimon’s house
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene III,NA,NA,Scene III. Tarsus. A room in Cleon’s house
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT III,Scene IV,NA,NA,Scene IV. Ephesus. A room in Cerimon’s house
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,ACT IV
1537,Pericles,"PERICLES, PRINCE OF TYRE",History,1608,William Shakespeare,front_matter,contents,ACT IV,NA,NA,NA,Chorus. Chorus
