gutenberg_id,short_title,gutenberg_title,genre,year,author,section,class,act,scene,character,line_number,text
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,title,NA,NA,NA,NA,A MIDSUMMER NIGHT’S DREAM
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,author,NA,NA,NA,NA,by William Shakespeare
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents_header,NA,NA,NA,NA,Contents
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,ACT I
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,Scene I,NA,NA,Scene I.
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,Athens. A room in the Palace of Theseus
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,Scene II,NA,NA,Scene II.
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT I,NA,NA,NA,The Same. A Room in a Cottage
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,ACT II
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,Scene I,NA,NA,Scene I.
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,NA,NA,NA,A wood near Athens
1514,A Midsummer Night's Dream,A MIDSUMMER NIGHT’S DREAM,Comedy,1595,William Shakespeare,front_matter,contents,ACT II,Scene II,NA,NA,Scene II.
